#;Pian;Pøesnost;PIAN - typ;PIAN - Základní mapa 1:10 000;Definièní bod (WGS-84);WKT;Identifikátor;Okres;Katastr;Další katastry;Vedoucí akce;Organizace;Specifikace data;Datum zahájeni;Datum ukonèení;Hlavní typ;Vedlejší typ;Akce - lokalizace;Akce - nahrazuje NZ;Pøístupnost
17;P-2432-100608;odchylka desítky metrù;polygon;24-32-13;49.28372 : 16.527065;POLYGON((16.5337365 49.2806245,16.5302739 49.2793123,16.5277821 49.2779674,16.5274719 49.2783852,16.5273618 49.2789467,16.5272317 49.2792731,16.5269415 49.2794429,16.5261409 49.2794429,16.5259708 49.2806767,16.5258808 49.2809835,16.5250401 49.28272,16.5236691 49.2855988,16.5229786 49.2869892,16.5235991 49.2875766,16.526211 49.2893259,16.5265012 49.2894956,16.5275019 49.2887972,16.5284026 49.2884839,16.5291531 49.2884187,16.5300638 49.2878638,16.5308344 49.2872698,16.5311146 49.2866628,16.5306042 49.2864409,16.5307843 49.286121,16.5299437 49.2855923,16.5278722 49.2852202,16.527632 49.2851288,16.5286127 49.2843194,16.5291431 49.2842084,16.5291031 49.2840256,16.5296835 49.2836405,16.5305041 49.2837384,16.5305341 49.2837449,16.5307843 49.2836992,16.5314148 49.2836862,16.5318051 49.2838885,16.5318151 49.2840256,16.5311446 49.2846001,16.5312046 49.2847763,16.5328258 49.2854682,16.5333862 49.2846001,16.5337665 49.2837971,16.5339766 49.2830007,16.5343169 49.282485,16.5349874 49.2821064,16.5359981 49.2821586,16.5374892 49.2822565,16.5381797 49.2819889,16.53854 49.281323,16.5384899 49.2808856,16.5337365 49.2806245));M-9000252A;Brno-venkov;Kuøim;;Pøichystal, Michal;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;15.06.2005;15.11.2005;plošnı odkryv;;"1 - tra Za Kostelem; 2 - tra Klín u Jinaèovic, JZ extravilán";Ne;anonym
18;P-2432-100609;odchylka desítky metrù;polygon;24-32-14;49.281174 : 16.536224;POLYGON((16.5362028 49.281686,16.5376385 49.2807695,16.5355887 49.2805361,16.5353501 49.2815794,16.5362028 49.281686));M-9000252A;Brno-venkov;Kuøim;;Pøichystal, Michal;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;15.06.2005;15.11.2005;plošnı odkryv;;"1 - tra Za Kostelem; 2 - tra Klín u Jinaèovic, JZ extravilán";Ne;anonym
19;P-2432-100610;odchylka desítky metrù;polygon;24-32-13;49.280064 : 16.52789;POLYGON((16.5282947 49.2793051,16.5278289 49.2780245,16.5276043 49.2782687,16.5273631 49.2790664,16.5279121 49.280819,16.5282947 49.2793051));M-9000252A;Brno-venkov;Kuøim;;Pøichystal, Michal;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;15.06.2005;15.11.2005;plošnı odkryv;;"1 - tra Za Kostelem; 2 - tra Klín u Jinaèovic, JZ extravilán";Ne;anonym
21;P-2432-100546;odchylka desítky metrù;polygon;24-32-02;49.351143 : 16.435184;POLYGON((16.4348501 49.3512419,16.4350581 49.3511323,16.4352115 49.3512011,16.4353122 49.3511527,16.4350878 49.3510613,16.4350086 49.3510646,16.434799 49.3512022,16.4348501 49.3512419));M-202004296A;Brno-venkov;Tišnov;;Pøichystal, Michal;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;06.10.2020;02.11.2020;plošnı odkryv;;Ulice Èernohorská. Parc. è. 2466/279, 2466/282, 2466/284 a 2466/464.;Ne;anonym
23;P-2432-100547;odchylka desítky metrù;polygon;24-32-02;49.34186 : 16.430597;POLYGON((16.4309043 49.3416567,16.4308581 49.3416288,16.4307162 49.3417392,16.4306942 49.3417413,16.4303939 49.341985,16.4303201 49.3420803,16.4303565 49.3420997,16.4309043 49.3416567));M-202003708A;Brno-venkov;Tišnov;;Pøichystal, Michal;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;29.09.2020;06.10.2020;plošnı odkryv;;Ul. Wagnerova. Parc. è. 2053/2, 2053/7, 2053/19, 2053/21, 2400/1, 2400/29, 2401/2.;Ne;anonym
33;P-2432-100939;odchylka desítky metrù;polygon;24-32-09;49.307194 : 16.544558;POLYGON((16.5448977 49.307852,16.545862 49.3077098,16.5455542 49.3073224,16.5446873 49.3065476,16.54361 49.3070632,16.5441126 49.3077466,16.5441048 49.3079104,16.5448977 49.307852));M-202001176A;Brno-venkov;Kuøim;;Pøichystal, Michal;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;12.03.2020;30.07.2021;plošnı odkryv;vertikální øez;Záhoøí. Parc. è. 3062/32, 3062/33, 3062/34, 3062/38, 3062/39, 3062/215, 3062/216, 3062/217, 3062/218, 3062/219, 3062/220, 3062/221, 3062/222, 3062/223, 3062/224, 3062/225, 3062/226.;Ne;anonym
34;P-2432-100723;odchylka desítky metrù;polygon;24-32-02;49.341694 : 16.430237;POLYGON((16.4308972 49.3416517,16.4308679 49.3416355,16.4307285 49.3417511,16.430246 49.3412713,16.4299959 49.3413134,16.4297297 49.3414142,16.4298565 49.3415122,16.4296769 49.3415925,16.4298558 49.3417377,16.4302863 49.3420923,16.4303501 49.3421033,16.4308972 49.3416517));M-201904152A;Brno-venkov;Tišnov;;Pøichystal, Michal;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;06.11.2019;15.12.2020;plošnı odkryv;vertikální øez;Wagnerova ulice. Parc. è. 2053/19, 2401/2, 2053/2.;Ne;anonym
36;P-2432-100758;odchylka desítky metrù;polygon;24-32-02;49.347057 : 16.43392;POLYGON((16.4337436 49.3473163,16.4337385 49.3473344,16.4337612 49.347333,16.4337685 49.3473139,16.4338001 49.3473096,16.4338279 49.3473865,16.4338543 49.3473822,16.4338257 49.3473062,16.4339225 49.3472919,16.4340252 49.3472785,16.4340655 49.3472652,16.4341316 49.3472298,16.4341741 49.3471906,16.4342936 49.3470779,16.4341668 49.3470339,16.4339959 49.3470353,16.4339959 49.3470301,16.4339643 49.3470282,16.4338463 49.3466961,16.4333989 49.3467601,16.4334994 49.3470344,16.4335962 49.3470215,16.4337055 49.3473215,16.4337436 49.3473163));M-201903517A;Brno-venkov;Tišnov;;Pøichystal, Michal;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;17.10.2019;15.10.2021;plošnı odkryv;vertikální øez;Ulice Purkyòova. Parc. è. 883, 1439, 1440, 1441, 1442, 1481, 1860/2, 1860/38, 1860/40, 1860/41, 2347/2. Pøeèíslování parcel - 1860/42, 1860/2, 2782, 2867, 1860/40;Ne;anonym
37;P-2432-100974;odchylka desítky metrù;polygon;24-32-14;49.29197 : 16.543787;POLYGON((16.5438541 49.2931474,16.545695 49.2921297,16.5469662 49.2913274,16.546934 49.2913045,16.5459522 49.2918534,16.5454759 49.2916552,16.5451807 49.2918934,16.542431 49.2906889,16.5415748 49.292042,16.5438541 49.2931474));M-201902745A;Brno-venkov;Kuøim;;Pøichystal, Michal;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;30.07.2019;02.11.2020;plošnı odkryv;vertikální øez;"""Díly za svatım Janem"", parc. è. 2635/25, 2636/4, 2636/10, 2642/1, 2642/596, 2642/597, 2642/598, 2642/612, 2642/613, 2642/614, 2642/620, 2642/696, 2642/709, 2642/836, 2642/940, 2642/985, 2642/986, 4487/4, 4487/86, 4521/2, 4553/2, 4553/3, 4553/4, 4553/6, 4553/7, 4596/1, 4968, 4969, 5067, 5110/1, 5110/2, 5110/3, 5110/4, 5112, 5153, 5189, 5191, 5192, 5193, 5194, 5195, 5196, 5197, 5198, 5199, 5200, 5201, 5202, 5203, 5204, 5205, 5207, 5208, 5209, 5210, 5211, 5212, 5213, 5214, 5215, 5216, 5217, 5218, 5219, 5220, 5221, 5222, 5223, 5224, 5225, 5226, 5227, 5228, 5229, 5230, 5231, 5232, 5233, 5234, 5235.";Ne;anonym
39;P-2432-100311;odchylka desítky metrù;polygon;24-32-02;49.35544 : 16.430305;POLYGON((16.4306336 49.3550492,16.4303354 49.3552778,16.4303156 49.3552692,16.4305082 49.3551187,16.4304862 49.3551022,16.4304554 49.355118,16.4304675 49.3551287,16.4303035 49.3552548,16.4302837 49.3552634,16.4303002 49.3552792,16.4302485 49.3553093,16.4302221 49.3552907,16.4301583 49.3553229,16.4301902 49.3553423,16.4302023 49.3553638,16.4302056 49.3553982,16.4301979 49.3554161,16.4301583 49.3554419,16.4302089 49.3554806,16.4302562 49.3554548,16.4311605 49.3562415,16.4312881 49.356172,16.4312298 49.3561183,16.4312441 49.3560997,16.4312617 49.3560846,16.4312243 49.3560567,16.4311968 49.3560638,16.4311682 49.356066,16.4304037 49.3553996,16.4305522 49.3552943,16.4306996 49.3551832,16.4310065 49.3549224,16.4316622 49.3554755,16.4316083 49.3555035,16.4316204 49.3555135,16.4316105 49.3555193,16.4316952 49.3555888,16.431913 49.3554798,16.4318272 49.3554082,16.4318151 49.3554139,16.431803 49.3554039,16.4317491 49.3554311,16.431078 49.3548622,16.4313266 49.3546852,16.4312243 49.3546286,16.4312045 49.3546465,16.4311627 49.354625,16.4309603 49.3547733,16.4306336 49.3550492));M-201900074A;Brno-venkov;Tišnov;;Pøichystal, Michal;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;22.10.2018;07.10.2019;plošnı odkryv;vertikální øez;"""Hony za Kukırnou"". Parc. è. 662/5, 2331/1, 2466/26, 2466/128, 2466/265, 2466/439, 2466/458, 2466/619, 2466/623, 2466/625, 2466/628, 2466/630, 2466/633, 2466/635, 2466/638, 2466/639, 2466/641.";Ano;anonym
41;P-2432-100689;odchylka desítky metrù;polygon;24-32-02;49.338734 : 16.440353;POLYGON((16.4405897 49.3388321,16.4403691 49.3386632,16.440121 49.3388033,16.4403636 49.3389399,16.4405897 49.3388321));M-9105662A;Brno-venkov;Tišnov;;Unger, Josef;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;28.02.2014;21.03.2014;vizuální/geodetickı prùzkum;prùzkum detektorem kovu;"tra Pod Klucaninou, p.è. 1476/1; pozùstatky šibenice";Ne;anonym
43;P-2432-100641;odchylka jednotky metrù;polygon;24-32-02;49.348206 : 16.421898;POLYGON((16.4219946 49.3482283,16.4218189 49.348106,16.4217285 49.3481615,16.4217654 49.3481841,16.421788 49.3481723,16.421923 49.3482715,16.4219946 49.3482283));M-9103347A;Brno-venkov;Tišnov;;Peška, Marek;Archaia Brno, z.ú.;pøesné datum;01.11.2006;30.11.2006;skupina/sí sond;;"ul. Brnìnská; è.p. 148; pøístavba Finanèního úøadu; parc. è. 139";Ne;anonym
44;P-2432-101169;odchylka jednotky metrù;polygon;24-32-13;49.294647 : 16.519766;POLYGON((16.5192188 49.2946917,16.5201064 49.2949076,16.5203172 49.2946064,16.5200115 49.2945404,16.5193832 49.2943961,16.5192188 49.2946917));M-9104104A;Brno-venkov;Kuøim;;Pøichystal, Michal;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;29.04.2009;06.05.2009;plošnı odkryv;;"ul. Knínická, è.p.1577; pøístavba areálu firmy Dahlhausen CZ, II. etapa";Ne;anonym
45;P-2432-100582;odchylka desítky metrù;polygon;24-32-14;49.294746 : 16.54388;POLYGON((16.5475 49.2953279,16.5470673 49.2920412,16.5397484 49.2941613,16.5429895 49.2973788,16.5475 49.2953279));M-9101871A;Brno-venkov;Kuøim;;Berkovec, Tomáš;Ústav archeologické památkové péèe Brno, v.v.i.;pøesnì v letech;01.01.1998;31.12.2002;skupina/sí sond;;tra Díly za Svatım Jánem;Ne;anonym
46;P-2432-100578;odchylka desítky metrù;polygon;24-32-13;49.29468 : 16.522072;POLYGON((16.5230554 49.2949345,16.5205934 49.2942781,16.5201276 49.2941805,16.5200444 49.294327,16.5204603 49.29443,16.5205601 49.2942998,16.5230721 49.2949508,16.5230554 49.2949345));M-9102194A;Brno-venkov;Kuøim;;Pøichystal, Michal;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;19.09.2003;21.10.2003;vertikální øez;;ul. Knínická, è.p. 1577;Ne;anonym
48;P-2432-100617;odchylka desítky metrù;polygon;24-32-09;49.312294 : 16.549131;POLYGON((16.5483999 49.3121346,16.548337 49.3124628,16.5498681 49.312456,16.549952 49.3119568,16.5483999 49.3121346));M-9101296A;Brno-venkov;Kuøim;;Bálek, Miroslav;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;18.10.1999;17.11.1999;bez okolností;;"tra Záhoøí do klínù, U kopeèku, p.è. 3058/3; pøístavba nové haly závodu";Ne;anonym
51;P-2432-100581;odchylka jednotky metrù;polygon;24-32-09;49.312893 : 16.550798;POLYGON((16.5521437 49.3120159,16.5499822 49.3119478,16.5496167 49.3138131,16.5514545 49.3137722,16.5521437 49.3120159));M-9100648A;Brno-venkov;Kuøim;;Matìjíèková, Andrea;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;08.01.1996;29.04.1996;plošnı odkryv;;tra Záhoøí do klínù, U kopeèku;Ne;anonym
52;P-2432-100580;odchylka jednotky metrù;polygon;24-32-09;49.299152 : 16.531986;POLYGON((16.5322577 49.2991855,16.5322004 49.299062,16.5317171 49.2991173,16.5317669 49.2992505,16.5322577 49.2991855));M-9100791A;Brno-venkov;Kuøim;;Štrof, Antonín;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;10.03.1997;13.03.1997;plošnı odkryv;;nám. 1. kvìtna;Ne;anonym
56;P-2432-100615;odchylka desítky metrù;polygon;24-32-09;49.313267 : 16.546736;POLYGON((16.5473471 49.3130817,16.5464385 49.3128921,16.5460932 49.3134489,16.5469836 49.313905,16.5473471 49.3130817));M-9100646A;Brno-venkov;Kuøim;;Štrof, Antonín;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;29.04.1996;03.06.1996;plošnı odkryv;;"tra Záhoøí do klínù; areál firmy DC Blansko";Ne;anonym
57;P-2432-100616;odchylka desítky metrù;polygon;24-32-09;49.310535 : 16.538101;POLYGON((16.53915 49.3119693,16.5406846 49.310863,16.5406472 49.3108468,16.5400982 49.3112209,16.5396365 49.3110745,16.5381498 49.3102259,16.5389067 49.3097107,16.5388069 49.3096131,16.5379751 49.3101662,16.5370102 49.3109308,16.53915 49.3119693));M-9100429A;Brno-venkov;Kuøim;;Èimáø, Zdenìk;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;10.05.1995;14.06.1995;plošnı odkryv;;"tra Pod Toskou, Za zahradou u rybníka; vıstavba Montáního závodu Vaillant";Ne;anonym
58;P-2432-100290;odchylka desítky metrù;polygon;24-32-13;49.293854 : 16.522486;POLYGON((16.521964 49.2933037,16.5219133 49.2933088,16.5218744 49.2933215,16.521849 49.2933406,16.5218296 49.2933685,16.5218237 49.2933901,16.5218413 49.2942985,16.5218646 49.2943595,16.5219036 49.294418,16.5219893 49.2944624,16.5229458 49.2947381,16.5229536 49.2947305,16.5229984 49.2947445,16.5229965 49.2947534,16.5230724 49.294775,16.5230997 49.2947381,16.5229517 49.2946962,16.5229673 49.2946759,16.5231056 49.2947267,16.5231426 49.2946873,16.5231387 49.2934054,16.5221101 49.2931106,16.5219796 49.2933088,16.521964 49.2933037));M-201802636A;Brno-venkov;Kuøim;;Pøichystal, Michal;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;06.11.2018;11.02.2019;plošnı odkryv;prùzkum detektorem kovu;Ulice Knínická. Parc. è. 2698/23, 2698/24, 2698/25, 2698/37, 2698/38.;Ne;anonym
59;P-2432-100435;odchylka desítky metrù;polygon;24-32-14;49.296967 : 16.548824;POLYGON((16.5479178 49.2978013,16.5480098 49.2979099,16.5507493 49.2965092,16.5506704 49.2964378,16.549956 49.2967979,16.550311 49.2962177,16.5493905 49.2961748,16.548961 49.2965035,16.5490004 49.2966264,16.5471946 49.2971381,16.5470674 49.297221,16.5470061 49.2973068,16.5471595 49.2975697,16.5472121 49.297321,16.5473611 49.297281,16.5478696 49.2977498,16.5473743 49.2979871,16.5474093 49.2980128,16.5479178 49.2978013));M-201801544A;Brno-venkov;Kuøim;;Pøichystal, Michal;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;01.06.2018;13.12.2019;plošnı odkryv;vertikální øez;"ul. Tyršova; tra Ve Vedlejších";Ne;anonym
60;P-2432-100304;odchylka desítky metrù;polygon;24-32-02;49.35449 : 16.43161;POLYGON((16.4316112 49.3545122,16.4322053 49.3549185,16.4321236 49.3549475,16.4326508 49.355303,16.4329552 49.3550902,16.43248 49.3547734,16.4324132 49.3548048,16.4318303 49.3543816,16.4323798 49.3540285,16.4331929 49.3545799,16.4331446 49.3546065,16.4333859 49.3547709,16.4336941 49.3545194,16.4335122 49.3544033,16.4334008 49.3544638,16.4327176 49.3539753,16.4330815 49.3537624,16.4330072 49.3537165,16.4326434 49.3536802,16.4325208 49.3537503,16.4324726 49.3537189,16.4324243 49.35376,16.4323278 49.3537286,16.432183 49.3538277,16.4322684 49.3538834,16.4322201 49.3539075,16.4322461 49.3539269,16.4318117 49.354205,16.4317114 49.3541712,16.4313439 49.3544348,16.431303 49.3544057,16.4312585 49.3544324,16.4312956 49.354459,16.431136 49.3545484,16.4310877 49.3546113,16.4312919 49.354725,16.4313884 49.3546524,16.4316112 49.3545122));M-201803178A;Brno-venkov;Tišnov;;Pøichystal, Michal;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;30.08.2017;18.05.2018;povrchovı sbìr;plošnı odkryv;"""Hony za Kukırnou"". Parc. è. 2377, 2466/258, 2466/265, 2466/439, 2466/456, 2466/457, 2466/458, 2466/459, 2466/611, 2466/612, 2466/622, 2466/627, 2466/632, 2466/637, 2466/642, 2466/643, 2466/644, 2466/646, 2466/648, 2466/650, 2466/658, 2466/660, 2466/661, 2466/662, 2466/663, 2466/664, 2466/668, 2466/669, 2466/670, 2466/671, 2466/672, 2466/676, 2466/677, 2466/678, 2466/679, 2466/680, 2466/681, 2466/682, 2466/683, 2466/686 .";Ano;anonym
61;P-2432-100258;odchylka desítky metrù;polygon;24-32-13;49.290257 : 16.49854;POLYGON((16.4986823 49.2902942,16.4985158 49.2902163,16.4984109 49.2903414,16.4984615 49.2903697,16.4986823 49.2902942));M-201801586A;Brno-venkov;Moravské Knínice;;Pøichystal, Michal;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;30.05.2017;18.10.2017;vertikální øez;;Ulice Dolní branka, Horní branka, Mezihoøí, U Školky, Úvoz a Vinohradská. Parc. è. 4/2, 5/2, 6/1, 44, 45, 46, 48, 52, 67, 68, 76/1, 79, 80, 82, 84, 86/2, 87/1, 89, 92/2, 99/3, 100, 106, 111, 112, 116, 117, 121, 124, 125, 126/1, 126/2, 127, 129, 142/1, 144, 146, 152/3, 156/1, 158, 161, 162, 169, 172/1, 173, 175, 176, 178, 180, 182/2, 183/2, 184, 192/1, 193, 196, 208/1, 208/2, 261/1, 272, 274, 280, 283/2, 283/3, 283/4, 283/5, 283/6, 490, 493, 495, 497/1, 497/2, 504, 519, 525, 527, 532, 534, 535, 536, 538/2, 541, 549, 550, 598, 599, 601, 603, 604/2, 605, 606, 608, 610, 612, 614, 616, 618, 624, 638, 640, 643, 644, 646, 647, 648, 658/1, 658/2, 659/1, 667/2, 667/5, 667/6, 669/1, 772/1, 829/2, 1049/1, 1049/2, 1050, 1053, 1054, 1055, 1056, 1060, 1061, 1062, 1066, 1072, 1074, 1077, 1203/1, 1203/3, 1203/4, 1204, 1205 a 1214 .;Ano;anonym
72;P-2432-100131;odchylka jednotky metrù;polygon;24-32-09;49.311207 : 16.533546;POLYGON((16.5343072 49.3110078,16.5336814 49.3106501,16.532778 49.3114058,16.5334532 49.3117496,16.5343072 49.3110078));M-201800175A;Brno-venkov;Kuøim;;Bíško, Richard;Ústav archeologické památkové péèe Brno, v.v.i.;pøesné datum;03.02.2017;15.10.2018;plošnı odkryv;vertikální øez;Ul. Blanenská, parc. 2972/1. Parc. è. 2972/1.;Ne;anonym
